id,group,aff,strength,polviews_cat,age,sex,edu,wordsum,wordsum_cat,sci_knowledge,sci_kn_cat,oth_att,oth_att_cat
394,4,lib,sl,sl_lib,28,male,bach,9,higher,4,mid,0.6666666666666666,mid
361,4,lib,sl,sl_lib,46,male,<bach,9,higher,4,mid,0.5833333333333334,lower
559,4,lib,sl,sl_lib,24,male,<bach,9,higher,4,mid,0.8333333333333334,higher
211,4,lib,sl,sl_lib,41,female,bach,9,higher,5,higher,0.9166666666666666,higher
196,4,lib,sl,sl_lib,38,female,<bach,9,higher,5,higher,0.75,mid
500,4,lib,sl,sl_lib,46,male,grad,10,higher,4,mid,0.5833333333333334,lower
142,4,lib,sl,sl_lib,42,female,<bach,10,higher,4,mid,0.75,mid
18,4,lib,sl,sl_lib,40,male,grad,10,higher,4,mid,0.75,mid
66,4,lib,sl,sl_lib,33,female,grad,10,higher,5,higher,0.6666666666666666,mid
290,4,lib,sl,sl_lib,58,female,grad,10,higher,4,mid,0.75,mid
390,4,lib,sl,sl_lib,46,female,<bach,10,higher,5,higher,1,higher
611,4,lib,sl,sl_lib,28,female,bach,10,higher,5,higher,0.8333333333333334,higher
250,2,lib,str,lib,31,female,bach,5,lower,5,higher,0.75,mid
476,2,lib,str,lib,34,male,bach,5,lower,5,higher,0.6666666666666666,mid
251,2,lib,str,lib,49,female,<bach,6,lower,3,mid,1,higher
812,2,lib,str,lib,23,female,<bach,6,lower,2,lower,0.9166666666666666,higher
368,2,lib,str,lib,29,female,bach,6,lower,3,mid,1,higher
751,2,lib,str,lib,40,female,<bach,6,lower,5,higher,1,higher
828,2,lib,str,lib,44,male,<bach,6,lower,3,mid,1,higher
6,2,lib,str,lib,38,female,<bach,6,lower,3,mid,0.8333333333333334,higher
471,2,lib,str,lib,28,female,<bach,6,lower,2,lower,0.9166666666666666,higher
787,2,lib,str,lib,58,male,bach,7,lower,4,mid,0.8333333333333334,higher
712,2,lib,str,lib,59,female,<bach,7,lower,4,mid,0.9166666666666666,higher
223,2,lib,str,lib,43,male,grad,7,lower,5,higher,0.8333333333333334,higher
64,2,lib,str,lib,41,female,<bach,7,lower,4,mid,0.8333333333333334,higher
636,2,lib,str,lib,30,male,grad,7,lower,5,higher,0.75,mid
815,2,lib,str,lib,26,female,bach,7,lower,5,higher,0.8333333333333334,higher
902,2,lib,str,lib,29,male,<bach,7,lower,3,mid,1,higher
772,2,lib,str,lib,32,female,bach,7,lower,3,mid,1,higher
388,2,lib,str,lib,25,female,<bach,7,lower,4,mid,0.75,mid
172,4,lib,str,lib,21,male,<bach,8,higher,5,higher,0.5833333333333334,lower
603,4,lib,str,lib,40,male,grad,8,higher,4,mid,1,higher
350,4,lib,str,lib,59,female,grad,8,higher,5,higher,1,higher
526,4,lib,str,lib,51,male,grad,8,higher,3,mid,0.8333333333333334,higher
885,4,lib,str,lib,42,female,grad,9,higher,4,mid,0.9166666666666666,higher
347,4,lib,str,lib,55,female,bach,9,higher,4,mid,0.8333333333333334,higher
844,4,lib,str,lib,35,female,bach,9,higher,5,higher,0.8333333333333334,higher
686,4,lib,str,lib,34,male,bach,9,higher,5,higher,1,higher
411,4,lib,str,lib,31,female,grad,9,higher,3,mid,0.8333333333333334,higher
785,4,lib,str,lib,37,female,bach,9,higher,5,higher,1,higher
339,4,lib,str,lib,35,male,bach,9,higher,5,higher,0.9166666666666666,higher
693,4,lib,str,lib,45,male,<bach,10,higher,5,higher,0.5833333333333334,lower
54,4,lib,str,lib,30,male,<bach,10,higher,5,higher,0.9166666666666666,higher
816,4,lib,str,lib,41,female,<bach,10,higher,5,higher,0.6666666666666666,mid
906,4,lib,str,lib,50,female,bach,10,higher,5,higher,0.9166666666666666,higher
25,3,cons,reg,cons,31,male,bach,10,higher,5,higher,0.6666666666666666,mid
550,3,cons,reg,cons,39,female,<bach,9,higher,5,higher,0.8333333333333334,higher
334,3,cons,reg,cons,37,male,<bach,9,higher,4,mid,0.6666666666666666,mid
570,1,cons,reg,cons,43,female,<bach,6,lower,3,mid,0.75,mid
370,1,cons,str,cons,35,male,<bach,7,lower,5,higher,0.16666666666666666,lower
895,3,cons,sl,sl_cons,66,female,<bach,10,higher,3,mid,0.9166666666666666,higher
296,3,cons,sl,sl_cons,53,female,<bach,8,higher,3,mid,0.9166666666666666,higher
103,1,cons,sl,sl_cons,67,female,<bach,7,lower,1,lower,0.75,mid
130,3,cons,str,cons,48,male,grad,8,higher,4,mid,0.6666666666666666,mid
351,2,lib,sl,sl_lib,28,male,<bach,5,lower,4,mid,0.75,mid
426,3,cons,reg,cons,55,male,<bach,8,higher,5,higher,0.75,mid
338,1,cons,sl,sl_cons,36,female,bach,7,lower,4,mid,0.3333333333333333,lower
466,1,cons,reg,cons,63,female,<bach,7,lower,5,higher,0.8333333333333334,higher
355,2,lib,str,lib,30,female,bach,3,lower,2,lower,0.8333333333333334,higher
107,1,cons,reg,cons,31,male,<bach,7,lower,4,mid,0.3333333333333333,lower
841,1,cons,reg,cons,36,female,<bach,7,lower,3,mid,0.4166666666666667,lower
3,2,lib,reg,lib,21,male,bach,7,lower,5,higher,0.5833333333333334,lower
626,2,lib,sl,sl_lib,40,male,<bach,7,lower,4,mid,0.8333333333333334,higher
679,3,cons,sl,sl_cons,30,male,<bach,8,higher,3,mid,0.75,mid
909,3,cons,sl,sl_cons,37,female,grad,8,higher,3,mid,0.75,mid
414,4,lib,sl,sl_lib,28,male,bach,8,higher,4,mid,0.4166666666666667,lower
93,4,lib,sl,sl_lib,41,female,<bach,8,higher,3,mid,0.75,mid
236,2,lib,sl,sl_lib,45,female,bach,6,lower,4,mid,0.75,mid
74,3,cons,reg,cons,32,female,bach,9,higher,3,mid,0.9166666666666666,higher
802,3,cons,reg,cons,45,female,<bach,9,higher,4,mid,0.75,mid
970,2,lib,sl,sl_lib,22,female,<bach,7,lower,5,higher,0.6666666666666666,mid
882,3,cons,sl,sl_cons,51,female,bach,8,higher,5,higher,0.75,mid
343,4,lib,sl,sl_lib,31,female,bach,9,higher,4,mid,0.6666666666666666,mid
183,3,cons,reg,cons,37,female,grad,9,higher,4,mid,0.8333333333333334,higher
20,4,lib,sl,sl_lib,56,female,bach,8,higher,3,mid,0.75,mid
